match_no,round,round_idx,match_date,venue,home_ref,away_ref,home_team,away_team,home_score,away_score,home_pens,away_pens,winner,home_from,away_from,status,source,scraped_at
73,Round of 32,0,2026-06-28,"SoFi Stadium , Inglewood",South Africa,Canada,South Africa,Canada,0,1,,,Canada,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
74,Round of 32,0,2026-06-29,"NRG Stadium , Houston",Brazil,Japan,Brazil,Japan,2,1,,,Brazil,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
75,Round of 32,0,2026-06-29,"Gillette Stadium , Foxborough",Germany,Paraguay,Germany,Paraguay,1,1,3,4,Paraguay,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
76,Round of 32,0,2026-06-29,"Estadio BBVA , Guadalupe",Netherlands,Morocco,Netherlands,Morocco,1,1,2,3,Morocco,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
77,Round of 32,0,2026-06-30,"AT&T Stadium , Arlington",Ivory Coast,Norway,Ivory Coast,Norway,1,2,,,Norway,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
78,Round of 32,0,2026-06-30,"MetLife Stadium , East Rutherford",France,Sweden,France,Sweden,3,0,,,France,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
79,Round of 32,0,2026-06-30,"Estadio Azteca , Mexico City",Mexico,Ecuador,Mexico,Ecuador,2,0,,,Mexico,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
80,Round of 32,0,2026-07-01,"Mercedes-Benz Stadium , Atlanta",England,DR Congo,England,DR Congo,2,1,,,England,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
81,Round of 32,0,2026-07-01,"Lumen Field , Seattle",Belgium,Senegal,Belgium,Senegal,3,2,,,Belgium,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
82,Round of 32,0,2026-07-01,"Levi's Stadium , Santa Clara",United States,Bosnia and Herzegovina,United States,Bosnia,2,0,,,United States,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
83,Round of 32,0,2026-07-02,"BMO Field , Toronto Referee: Espen Eskås ( Norway )",Portugal,Croatia,Portugal,Croatia,,,,,,,,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
84,Round of 32,0,2026-07-02,"SoFi Stadium , Inglewood",Spain,Austria,Spain,Austria,3,0,,,Spain,,,played,wikipedia,2026-07-03T00:12:26.182123+00:00
85,Round of 32,0,2026-07-02,"BC Place , Vancouver Referee: Yael Falcón ( Argentina )",Switzerland,Algeria,Switzerland,Algeria,,,,,,,,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
86,Round of 32,0,2026-07-03,"Hard Rock Stadium , Miami Gardens Referee: Drew Fischer ( Canada )",Argentina,Cape Verde,Argentina,Cape Verde,,,,,,,,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
87,Round of 32,0,2026-07-03,"Arrowhead Stadium , Kansas City Referee: Clément Turpin ( France )",Colombia,Ghana,Colombia,Ghana,,,,,,,,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
88,Round of 32,0,2026-07-03,"AT&T Stadium , Arlington Referee: Gustavo Tejera ( Uruguay )",Australia,Egypt,Australia,Egypt,,,,,,,,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
89,Round of 16,1,2026-07-04,"Lincoln Financial Field , Philadelphia Referee: Ilgiz Tantashev ( Uzbekistan )",Paraguay,France,Paraguay,France,,,,,,75,78,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
90,Round of 16,1,2026-07-04,"NRG Stadium , Houston Referee: Michael Oliver ( England )",Canada,Morocco,Canada,Morocco,,,,,,73,76,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
91,Round of 16,1,2026-07-05,"MetLife Stadium , East Rutherford",Brazil,Norway,Brazil,Norway,,,,,,74,77,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
92,Round of 16,1,2026-07-05,"Estadio Azteca , Mexico City",Mexico,England,Mexico,England,,,,,,79,80,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
93,Round of 16,1,2026-07-06,"AT&T Stadium , Arlington",Winner Match 83,Spain,,Spain,,,,,,83,84,scheduled,wikipedia,2026-07-03T00:12:26.182123+00:00
