team,elo,fifa_rank,xg_for,xg_against,xg_games,source,scraped_at
Mexico,1810,14,5.75,2.93,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
South Africa,1620,60,3.0599999999999996,5.9,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
South Korea,1800,22,3.42,4.0,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Czech Republic,1740,40,3.5700000000000003,3.8699999999999997,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Canada,1795,33,7.84,2.04,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Bosnia,1645,64,3.59,5.67,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Qatar,1600,56,1.95,6.84,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Switzerland,1860,19,4.7,3.0100000000000002,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Brazil,2030,6,6.65,2.68,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Morocco,1920,7,5.390000000000001,3.94,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Haiti,1530,83,3.27,4.16,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Scotland,1720,39,2.0700000000000003,3.97,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
United States,1850,17,6.34,3.0700000000000003,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Paraguay,1725,54,2.15,4.359999999999999,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Australia,1790,27,2.2800000000000002,2.48,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Turkey,1780,26,2.74,3.23,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Germany,1970,10,8.940000000000001,2.86,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Curaçao,1520,82,0.8400000000000001,8.42,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Ivory Coast,1750,38,4.65,5.14,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Ecuador,1870,23,4.880000000000001,3.7500000000000004,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Netherlands,1980,8,7.780000000000001,4.720000000000001,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Japan,1880,18,6.290000000000001,4.9399999999999995,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Sweden,1815,25,5.62,8.52,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Tunisia,1710,45,1.75,8.39,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Belgium,1950,9,8.02,5.800000000000001,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Egypt,1730,36,4.12,3.05,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Iran,1820,20,3.42,3.5,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
New Zealand,1510,85,2.23,7.279999999999999,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Spain,2120,2,6.779999999999999,1.38,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Cape Verde,1640,67,1.87,4.18,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Saudi Arabia,1660,58,1.48,5.46,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Uruguay,1960,16,4.19,3.3000000000000003,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
France,2100,3,8.780000000000001,3.4699999999999998,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Senegal,1840,15,9.120000000000001,6.27,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Iraq,1630,55,1.27,8.07,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Norway,1775,44,8.12,4.27,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Argentina,2150,1,6.56,1.73,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Algeria,1760,28,3.96,4.97,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Austria,1830,24,3.97,4.28,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Jordan,1610,63,2.52,6.029999999999999,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Portugal,2010,5,6.050000000000001,3.19,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
DR Congo,1670,61,4.84,5.640000000000001,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Uzbekistan,1650,50,1.5699999999999998,7.99,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Colombia,1990,13,5.34,2.26,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
England,2050,4,7.47,3.9799999999999995,4,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Croatia,1940,11,3.54,4.08,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Ghana,1690,49,2.9299999999999997,2.29,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
Panama,1680,34,1.8599999999999999,4.17,3,wc2026_dataset,2026-07-03T09:28:59.752882+00:00
